time,open,high,low,close,volume
2026-04-15 06:45:00,4816.09,4822.16,4815.4,4820.15,1388
2026-04-15 06:50:00,4820.25,4820.47,4813.64,4814.74,1484
2026-04-15 06:55:00,4814.74,4814.81,4811.23,4811.71,1552
2026-04-15 07:00:00,4811.72,4813.7,4804.08,4808.88,1720
2026-04-15 07:05:00,4808.88,4812.28,4806.7,4809.34,1557
2026-04-15 07:10:00,4809.31,4816.95,4808.28,4815.82,1491
2026-04-15 07:15:00,4815.81,4816.17,4810.04,4812.41,1340
2026-04-15 07:20:00,4812.44,4814.22,4809.92,4810.02,1311
2026-04-15 07:25:00,4810.02,4812.94,4805.71,4812.94,1497
2026-04-15 07:30:00,4812.94,4814.54,4808.72,4811.71,1216
2026-04-15 07:35:00,4811.71,4815.86,4811.69,4813.33,1122
2026-04-15 07:40:00,4813.32,4814.25,4809.28,4810.33,1074
2026-04-15 07:45:00,4810.35,4810.35,4806.11,4807.99,1313
2026-04-15 07:50:00,4808.01,4810.62,4807.12,4810.12,1153
2026-04-15 07:55:00,4810.09,4812.88,4808.81,4811.2,1290
2026-04-15 08:00:00,4811.14,4811.62,4806.68,4811.6,1601
2026-04-15 08:05:00,4811.6,4812.68,4808.07,4808.62,940
2026-04-15 08:10:00,4808.59,4811.69,4804.6,4811.55,1267
2026-04-15 08:15:00,4811.57,4813.17,4810.51,4811.88,1194
2026-04-15 08:20:00,4811.88,4812.13,4808.32,4810.16,1076
2026-04-15 08:25:00,4810.16,4814.36,4806.05,4810.0,1358
2026-04-15 08:30:00,4809.96,4811.97,4805.46,4809.67,1538
2026-04-15 08:35:00,4809.66,4811.43,4807.41,4809.86,1207
2026-04-15 08:40:00,4809.86,4813.03,4808.88,4810.53,1048
2026-04-15 08:45:00,4810.49,4812.08,4809.93,4811.48,985
2026-04-15 08:50:00,4811.47,4815.26,4810.72,4814.56,935
2026-04-15 08:55:00,4814.57,4821.21,4814.13,4818.39,1087
2026-04-15 09:00:00,4818.4,4819.55,4812.42,4815.15,1769
2026-04-15 09:05:00,4815.14,4815.22,4805.29,4806.19,1765
2026-04-15 09:10:00,4806.13,4808.54,4792.83,4805.06,2192
2026-04-15 09:15:00,4805.0,4806.65,4801.51,4806.37,1647
2026-04-15 09:20:00,4806.38,4807.23,4803.25,4804.43,1287
2026-04-15 09:25:00,4804.43,4804.46,4797.56,4798.08,1399
2026-04-15 09:30:00,4797.8,4803.83,4796.9,4798.42,1427
2026-04-15 09:35:00,4798.4,4800.91,4795.39,4796.55,1197
2026-04-15 09:40:00,4796.55,4800.37,4796.21,4796.26,1249
2026-04-15 09:45:00,4796.26,4796.65,4786.29,4795.32,1692
2026-04-15 09:50:00,4795.28,4798.77,4792.58,4798.56,1337
2026-04-15 09:55:00,4798.56,4800.37,4794.59,4798.18,1119
2026-04-15 10:00:00,4798.19,4798.92,4795.47,4795.63,1184
2026-04-15 10:05:00,4795.66,4802.57,4795.61,4801.69,1332
2026-04-15 10:10:00,4801.69,4803.1,4800.88,4801.3,983
2026-04-15 10:15:00,4801.3,4801.42,4793.62,4795.0,1873
2026-04-15 10:20:00,4795.0,4798.21,4792.43,4794.34,1782
2026-04-15 10:25:00,4794.32,4795.41,4790.46,4795.14,1575
2026-04-15 10:30:00,4795.14,4798.9,4793.05,4794.39,1633
2026-04-15 10:35:00,4794.37,4796.75,4793.52,4796.2,1208
2026-04-15 10:40:00,4796.2,4800.72,4795.57,4800.19,1594
2026-04-15 10:45:00,4800.21,4805.28,4799.62,4800.96,1493
2026-04-15 10:50:00,4800.96,4804.51,4800.24,4803.44,1091
2026-04-15 10:55:00,4803.44,4804.17,4799.97,4800.06,1031
2026-04-15 11:00:00,4800.06,4800.13,4795.6,4798.28,1285
2026-04-15 11:05:00,4798.28,4800.75,4798.11,4799.15,1071
2026-04-15 11:10:00,4799.01,4804.42,4798.93,4802.44,1221
